id,Term,zog,kike,george soros,rothschild,nigger,Average,predict,true_label
65,donald_trump,0.176861748,0.161113828,0.28780058,0.161293909,0.163074121,0.190028837,1,0
66,jacob_rothschild,0.174816445,0.265315086,0.307546079,0.436977744,0.139462709,0.264823613,1,1
67,trump_trump,0.055455842,-0.035045797,-0.011487566,-0.065368722,0.011797752,-0.008929698,0,0
68,big_pharma,0.166649982,0.187425911,0.22246094,0.205509782,0.102794923,0.176968308,1,1
69,soros_gate,0.062855548,-0.082779463,-0.0001677,-0.054604067,-0.007030299,-0.016345196,0,0
70,soros_klaus,0.274967909,0.310075015,0.402168512,0.389838964,0.235792324,0.322568545,1,0
71,tax_money,0.226557493,0.251919508,0.206094757,0.135881349,0.23775591,0.211641803,1,1
72,nazi_soros,-0.00052416,-0.157113529,0.005549864,-0.08023898,-0.066019096,-0.05966918,0,1
73,classified_document,0.094219953,0.21068798,0.209924206,0.062068738,0.20943822,0.157267819,1,0
74,john_kerry,0.104953542,0.07297314,0.355202943,0.200430945,-0.031206105,0.140470893,0,0
75,banking_system,0.229504272,0.151323274,0.160184428,0.314588845,0.189826295,0.209085423,1,1
76,soros_family,0.025974173,-0.063687518,-0.059137749,-0.075027672,-0.025023882,-0.039380529,0,0
77,district_attorney,0.107770756,0.197748587,0.42658186,0.064288743,0.327472985,0.224772586,1,1
78,jew_jew,0.054612985,-0.073597139,-0.005275659,-0.048765333,-0.01472115,-0.017549259,0,0
79,soros_george,0.068613849,-0.042334357,-0.043275906,-0.039769552,-0.021957693,-0.015744732,0,0
80,eastern_european,0.331391037,0.227009773,0.339261919,0.145712227,0.234835222,0.255642036,1,1
81,eu_financial,0.02490479,-0.110592026,-0.054891219,-0.119614337,-0.05763475,-0.063565508,0,0
82,hillary_clinton,0.06076587,0.058312621,0.482059687,0.159196526,-0.059600387,0.140146863,0,0
83,biden_white,0.05020307,0.113407314,0.456312895,0.128869429,0.148030251,0.179364592,1,1
84,azov_batallion,0.455912828,0.463953167,0.146879524,0.103898168,0.489155024,0.331959742,1,0
85,soros_money,-0.032052055,-0.169462488,-0.075269685,-0.157802786,-0.031116685,-0.09314074,0,0
86,soros_obama,-0.008756678,-0.072875006,-0.064654877,-0.023216706,-0.046716222,-0.043243898,0,0
87,crime_humanity,0.188730925,0.220197558,0.299829483,0.206449971,0.178146467,0.218670881,1,1
88,nato_country,0.256522954,0.126535773,0.287076294,0.126240999,0.114970751,0.182269354,1,0
89,division_white,0.336058199,0.296434879,0.256889075,0.162262768,0.32583639,0.275496262,1,1
90,kikeuntil_jew,0.33182016,0.430552751,0.063488901,0.032299623,0.52324456,0.276281199,1,1
91,people_kikeuntil,0.340851843,0.303193152,0.25434795,0.157059982,0.326481462,0.276386878,1,1
92,conspiracy_theory,0.133812577,0.307099134,0.321403295,0.076970331,0.212617829,0.210380633,1,1
93,soros_biden,0.028919355,-0.074814906,-0.052065312,-0.025847276,-0.047412418,-0.034244111,0,0
94,gate_fauci,0.140405878,0.182298392,0.229037553,0.247259468,0.091031402,0.178006539,1,1
95,jewish_israeli,0.428665429,0.562765777,0.143964082,0.161745101,0.569832683,0.373394614,1,1
96,kike_shill,0.473148674,0.665585876,0.246519074,0.155338138,0.57320869,0.42276009,1,1
97,house_dozen,0.077566274,0.138131425,0.456448764,0.146964237,0.125314683,0.188885076,1,1
