,date,george soros,deep state,alex jones,world order,klaus schwab,white hat,free speech,new world,open society,zionist jew,social medium,support ukraine,rothschild family,davos group,economic forum,russia ukraine,nigger kike,elon musk,world economic,white people,joe biden,khazarian mafia,election fraud,crime family,world war,soros schwab,joe rogan,schwab wef,hunter biden,climate change,jacob rothschild,big pharma,tax money,banking system,district attorney,eastern european,biden white,crime humanity,division white,kikeuntil jew,people kikeuntil,conspiracy theory,gate fauci,jewish israeli,kike shill,house dozen,kike nigger,warwith nato,ron desantis,kiss death,florida governor,munich security,shrewd ruthless,security conference,firearm soros
0,24/12/22,501,172,62,57,54,48,70,45,45,44,42,41,41,53,38,35,35,31,36,33,36,28,13,5,26,33,1,2,31,24,18,9,2,22,9,6,2,8,0,0,0,29,4,9,31,0,28,0,1,0,0,0,0,0,0
1,03/01/23,670,194,7,92,68,61,33,78,122,12,39,5,64,7,73,41,29,76,75,65,46,42,37,32,34,29,0,8,29,20,24,21,5,21,25,2,3,23,9,9,9,17,15,26,31,0,26,0,5,0,0,1,0,1,0
2,13/01/23,974,126,33,128,208,49,12,120,125,64,42,2,76,32,154,32,27,26,160,58,96,61,19,54,36,131,69,60,64,53,42,46,39,19,14,3,12,14,0,0,0,26,29,5,31,0,30,0,13,0,7,2,0,4,0
3,23/01/23,1141,142,15,111,58,46,12,102,224,38,34,5,63,54,37,37,28,13,39,80,93,29,23,41,33,77,3,9,30,19,38,69,10,88,52,47,47,40,38,38,38,36,37,36,38,35,34,0,5,0,0,0,0,0,0
4,02/02/23,602,118,24,86,54,40,10,77,143,100,23,4,112,3,18,37,30,18,19,122,97,33,17,135,24,85,4,58,40,11,15,30,2,13,13,1,2,22,63,63,63,34,1,32,31,1,34,53,19,0,1,0,0,0,0
5,12/02/23,1030,144,23,57,84,29,11,50,129,66,26,5,67,18,37,41,38,17,39,79,42,16,17,18,43,42,4,6,24,87,33,31,2,23,25,1,1,28,27,27,27,22,6,29,24,1,31,1,178,53,53,51,49,48,40
